date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:49	10402/10402	---M-Z	200	added ('OK')	text/html	etag:%2228a2-5610ff0359380-gzip%22	http://doc.superbtc.org/en/glossary/internal-byte-order.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/internal-byte-order.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:50	793200/793200	---MCZ	200	added ('OK')	text/html	etag:%22c1a70-56110018de240-gzip%22	http://doc.superbtc.org/en/developer-guide.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/developer-guide.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:50	12240/12240	---M-Z	200	added ('OK')	text/html	etag:%222fd0-5610fb7b43e80-gzip%22	http://doc.superbtc.org/en/glossary/merkle-root.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/merkle-root.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:50	11020/11020	---M-Z	200	added ('OK')	text/html	etag:%222b0c-5610fec27fa80-gzip%22	http://doc.superbtc.org/en/glossary/mining.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/mining.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:50	10360/10360	---M-Z	200	added ('OK')	text/html	etag:%222878-5610fdca8b180-gzip%22	http://doc.superbtc.org/en/glossary/node.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/node.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:50	12937/12937	---M-Z	200	added ('OK')	text/html	etag:%223289-5610fe744c200-gzip%22	http://doc.superbtc.org/en/glossary/nbits.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/nbits.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:51	11423/11423	---M-Z	200	added ('OK')	text/html	etag:%222c9f-5611003f03c40-gzip%22	http://doc.superbtc.org/en/glossary/coinbase-transaction.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/coinbase-transaction.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:51	10845/10845	---M-Z	200	added ('OK')	text/html	etag:%222a5d-5610f9e12f700-gzip%22	http://doc.superbtc.org/en/glossary/genesis-block.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/genesis-block.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:51	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:47%20GMT	http://doc.superbtc.org/en/release/v0.7.0	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.7.0	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:51	13639/13639	---M-Z	200	added ('OK')	text/html	etag:%223547-5610ffb4bb600-gzip%22	http://doc.superbtc.org/en/glossary/soft-fork.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/soft-fork.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:52	12569/12569	---M-Z	200	added ('OK')	text/html	etag:%223119-5610fc316ac40-gzip%22	http://doc.superbtc.org/en/glossary/block-height.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/block-height.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:52	11400/11400	---M-Z	200	added ('OK')	text/html	etag:%222c88-5611003f03c40-gzip%22	http://doc.superbtc.org/en/glossary/coinbase.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/coinbase.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:52	13027/13027	---M-Z	200	added ('OK')	text/html	etag:%2232e3-5610ffb4bb600-gzip%22	http://doc.superbtc.org/en/glossary/fork.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/fork.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:52	10960/10960	---M-Z	200	added ('OK')	text/html	etag:%222ad0-5610fa2b92680-gzip%22	http://doc.superbtc.org/en/glossary/signature.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/signature.html	(from http://doc.superbtc.org/en/developer-reference.html)
